I return to it permanently	just because there are pages you've already read, or pages you have yet to read, doesn't mean those pages don't exist	0	23
I return to it permanently	And all those pages will continue to exist, even after you've finished your book	0	24
I might as well have never lived	What if time itself is an illusion, and we really do live forever?	0	16
I might as well have never lived	"Now" is *the page you are reading at this moment*	0	21
I might as well have never lived	just because there are pages you've already read, or pages you have yet to read, doesn't mean those pages don't exist	0	22
I might as well have never lived	And all those pages will continue to exist, even after you've finished your book	0	23
Helping others doesn't matter	What if time itself is an illusion, and we really do live forever?	0	15
Helping others doesn't matter	"Now" is *the page you are reading at this moment*	0	20
Helping others doesn't matter	just because there are pages you've already read, or pages you have yet to read, doesn't mean those pages don't exist	0	21
Helping others doesn't matter	And all those pages will continue to exist, even after you've finished your book	0	22
They will die too	What if time itself is an illusion, and we really do live forever?	0	14
They will die too	"Now" is *the page you are reading at this moment*	0	19
They will die too	just because there are pages you've already read, or pages you have yet to read, doesn't mean those pages don't exist	0	20
They will die too	And all those pages will continue to exist, even after you've finished your book	0	21
And then their descendants will die, on and on and on	What if time itself is an illusion, and we really do live forever?	0	13
And then their descendants will die, on and on and on	"Now" is *the page you are reading at this moment*	0	18
And then their descendants will die, on and on and on	just because there are pages you've already read, or pages you have yet to read, doesn't mean those pages don't exist	0	19
